Wall time,Step,Value
1682429186.762133,126,5264.89208984375
1682429194.524796,127,5751.23486328125
1682429202.2001224,128,5071.25146484375
1682429209.8409896,129,5281.32275390625
1682429217.4807549,130,4829.3740234375
1682429225.1539564,131,5008.7724609375
1682429232.894396,132,4667.927734375
1682429240.6961238,133,4871.74462890625
1682429248.2917516,134,4578.6083984375
1682429255.924057,135,4910.78955078125
1682429263.5819037,136,4637.3740234375
1682429271.407426,137,4674.47412109375
1682429279.0483127,138,4394.9111328125
1682429286.680597,139,4492.32080078125
1682429294.360537,140,4275.126953125
1682429301.9909084,141,4431.27001953125
1682429309.6289403,142,4293.33251953125
1682429317.2500484,143,4432.0009765625
1682429324.8711333,144,4248.51416015625
1682429332.540005,145,4363.44140625
1682429340.2217815,146,4151.80029296875
1682429347.8870397,147,4284.8935546875
1682429355.6385062,148,4041.52978515625
1682429363.735246,149,4224.3681640625
1682429371.5367193,150,3964.576904296875
1682429379.3002636,151,4131.77685546875
1682429387.0633018,152,3781.369873046875
1682429394.8307135,153,3899.308837890625
1682429402.6581879,154,3740.220703125
1682429410.435404,155,3910.9912109375
1682429418.464869,156,3986.829345703125
1682429426.1250498,157,3871.31005859375
1682429433.8302493,158,3817.119384765625
1682429441.4652777,159,3764.564208984375
1682429449.2464213,160,3699.089111328125
1682429457.326175,161,3629.908203125
1682429465.20948,162,3450.69677734375
1682429473.0135713,163,3670.423583984375
1682429480.786516,164,3461.437255859375
1682429488.555537,165,3622.025390625
1682429496.5352008,166,3521.38623046875
1682429504.4983747,167,3373.2998046875
1682429512.3762767,168,3613.264892578125
1682429520.1045647,169,3592.28759765625
1682429527.9047909,170,3459.1923828125
1682429535.7722986,171,3612.869384765625
1682429543.5247076,172,3699.0361328125
1682429551.262271,173,3419.057373046875
1682429558.9652665,174,3621.093017578125
1682429566.6697366,175,3527.844482421875
1682429574.6757617,176,3388.465576171875
1682429582.6355135,177,3177.54736328125
1682429590.3530738,178,3263.67919921875
1682429598.2409165,179,3152.62060546875
1682429606.2930558,180,3303.9970703125
1682429614.1371944,181,3161.522705078125
1682429621.6838412,182,3365.26123046875
1682429629.0558963,183,3899.758544921875
1682429636.6097853,184,4841.61328125
1682429644.2173674,185,3394.992919921875
1682429651.9654858,186,3448.434326171875
1682429659.4049866,187,3221.843505859375
1682429666.7631516,188,3210.40478515625
1682429674.133213,189,3142.61572265625
1682429681.7027466,190,3199.147705078125
1682429689.425595,191,3115.348876953125
1682429697.0901732,192,3270.51806640625
1682429704.8878038,193,3118.02001953125
1682429712.7030234,194,3231.987548828125
1682429720.6081219,195,3089.515869140625
1682429728.7875633,196,3118.606201171875
1682429736.8634276,197,3065.89208984375
1682429745.1707351,198,3143.467041015625
1682429753.0043647,199,3154.263671875
1682429760.8296623,200,3203.8388671875
1682429768.826897,201,3066.120361328125
1682429776.800827,202,3004.825439453125
1682429784.6461742,203,2958.10546875
1682429792.0339012,204,3026.479248046875
1682429799.4547272,205,3261.291748046875
1682429806.909764,206,3357.910400390625
1682429814.7325752,207,4329.2314453125
1682429822.5596435,208,3454.453857421875
1682429829.9836998,209,3060.12109375
1682429837.5234072,210,3040.639404296875
1682429844.947163,211,2824.37451171875
1682429852.812858,212,2887.06103515625
1682429860.700121,213,2879.037841796875
1682429868.5979958,214,3326.266357421875
1682429876.4235687,215,3074.939453125
1682429884.3299716,216,3186.3818359375
1682429892.1134107,217,2954.564453125
1682429899.8897388,218,2954.43994140625
1682429907.323649,219,2892.294189453125
1682429914.7176907,220,2914.456787109375
1682429922.153663,221,2717.758056640625
1682429929.539874,222,2848.865966796875
1682429937.008704,223,2724.796875
1682429944.4335623,224,2956.0390625
1682429951.961703,225,2823.82470703125
1682429959.42393,226,3004.360595703125
1682429967.2207856,227,2873.83642578125
1682429974.634475,228,3065.52490234375
1682429981.940492,229,2836.36865234375
1682429989.2290618,230,3000.90673828125
1682429996.6380274,231,2748.8203125
1682430004.3035429,232,2868.758056640625
1682430011.9507473,233,2676.1064453125
1682430019.7181468,234,2798.191650390625
1682430027.0617042,235,2649.630615234375
1682430034.4065983,236,2819.768798828125
1682430042.24928,237,2698.785400390625
1682430050.0024548,238,2816.820068359375
1682430057.8625326,239,2652.594482421875
1682430065.9052207,240,2782.974853515625
1682430074.0042608,241,2581.058837890625
1682430081.934951,242,2711.021484375
1682430090.044013,243,2544.7294921875
1682430098.2645133,244,2697.9296875
1682430106.3544736,245,2569.95556640625
1682430114.0955858,246,2703.814697265625
1682430122.0562723,247,2588.6416015625
1682430129.8440268,248,2720.748291015625
1682430137.687558,249,2557.527587890625
1682430145.5659912,250,2749.597900390625
1682430153.5684085,251,2545.877685546875
1682430161.4198613,252,2640.71044921875
1682430169.3795636,253,2464.612548828125
1682430176.8325303,254,2595.88916015625
1682430184.5172403,255,2742.2529296875
1682430192.4867182,256,2946.3701171875
1682430200.303576,257,3026.096923828125
1682430207.8450747,258,2656.188720703125
1682430215.2438629,259,2488.880126953125
1682430222.7152448,260,2683.821044921875
1682430230.2442944,261,2480.19677734375
1682430237.7228553,262,2415.17724609375
1682430245.1555681,263,2305.926025390625
1682430252.6243927,264,2421.708740234375
1682430260.2001417,265,2520.34423828125
1682430268.1393912,266,2496.2724609375
1682430276.0868485,267,2666.23828125
1682430283.8425288,268,2600.144287109375
1682430291.6115575,269,2902.659423828125
1682430299.3670413,270,2882.39453125
1682430307.1733904,271,2493.58203125
1682430314.880642,272,2365.4375
1682430322.4801948,273,2235.8662109375
1682430330.024667,274,2235.736328125
1682430337.4821815,275,2272.26953125
1682430344.9455984,276,2226.79736328125
1682430352.380652,277,2252.605712890625
1682430359.844725,278,2302.526123046875
1682430367.3046794,279,2446.543212890625
1682430374.795985,280,2604.24853515625
1682430382.7784972,281,2406.47998046875
1682430390.762678,282,2543.62890625
1682430398.639627,283,2791.614501953125
1682430406.451407,284,2440.786865234375
1682430414.3244083,285,2530.521484375
1682430422.242197,286,2360.655517578125
1682430430.0801785,287,2348.751953125
1682430438.022044,288,2241.31005859375
1682430445.976456,289,2214.748291015625
1682430453.3247855,290,2242.798828125
1682430460.7672653,291,2587.875732421875
1682430468.1559947,292,2764.582763671875
1682430475.7812119,293,2473.54541015625
1682430483.5704978,294,2338.978271484375
1682430490.879234,295,2313.78759765625
1682430498.1945965,296,2398.809326171875
1682430505.5548239,297,2328.617919921875
1682430512.935335,298,2310.4453125
1682430520.3282661,299,2197.232177734375
1682430527.7644408,300,2184.505126953125
1682430535.2153015,301,2204.008056640625
1682430542.6943793,302,2207.620361328125
1682430550.1543703,303,2240.662353515625
1682430557.6007411,304,2497.93701171875
1682430565.2785945,305,2653.69384765625
1682430572.9711325,306,2705.7138671875
1682430580.678401,307,2261.70947265625
1682430588.465218,308,2231.46435546875
1682430596.247909,309,2188.9443359375
1682430603.9338145,310,2078.92138671875
1682430611.6377075,311,2188.7216796875
1682430619.2787304,312,2185.3740234375
1682430627.0380404,313,2207.999755859375
1682430634.7288256,314,2204.228759765625
1682430642.5642781,315,2653.771240234375
1682430650.4465506,316,2598.911376953125
1682430658.110928,317,2292.804443359375
1682430665.924638,318,2256.7333984375
1682430673.69939,319,2249.632568359375
1682430681.3947587,320,2204.782470703125
1682430689.1874993,321,2476.847412109375
1682430696.880832,322,2531.22412109375
